"","I2","CV","M"
"Total",99.25,50.92,0.98
"phylo",0,0,0
"Study_ID",1.51,0.77,0.01
"obs",90.29,46.32,0.89
"Scientific_Name",0,0,0
"Shared_Animal_Number",0,0,0
"Measurement",7.46,3.83,0.07
